Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement,Block 1,Block 2
2019-05-15,2019/195,Christine Seidler,SP,Isabel Garcia,GLP,Präsidialdepartement (PRD),links,mitte
2013-04-10,2013/135,Joachim Hagger,FDP,Bernhard Piller,Grüne,Tiefbau- und Entsorgungsdepartement (TED),rechts,links
2019-09-04,2017/263,Albert Leiser,FDP,Andreas Kirstein,AL,Tiefbau- und Entsorgungsdepartement (TED),rechts,links
2019-09-18,2019/396,Markus Baumann,GLP,Pascal Lamprecht,SP,Sicherheitsdepartement (SID),mitte,links
2019-02-06,2019/62,Ernst Danner,EVP,Christina Schiller,AL,Sozialdepartement (SD),mitte,links
2015-06-03,2015/171,Marcel Savarioud,SP,Karin Weyermann,CVP,Gesundheits- und Umweltdepartement (GUD),links,mitte
2005-04-20,2005/165,Anna Brändle Galliker,SP,Gerold Lauber,CVP,Sozialdepartement (SD),links,mitte
2009-08-19,2009/355,Albert Leiser,FDP,Daniel Leupi,Grüne,Tiefbau- und Entsorgungsdepartement (TED),rechts,links
2018-10-03,2018/387,Marcel Bührig,Grüne,Isabel Garcia,GLP,Gesundheits- und Umweltdepartement (GUD),links,mitte
2013-01-16,2013/17,Florian Utz,SP,Michèle Halser-Furrer,EVP,Finanzdepartement (FD),links,mitte
2003-12-10,2003/487,Daniel Leupi,Grüne,Ernst Danner,EVP,Polizeidepartement (PD),links,mitte
2016-12-21,2016/461,Pawel Silberring,SP,Christian Traber,CVP,Sicherheitsdepartement (SID),links,mitte
2013-08-28,2013/295,Simon Kälin-Werth,Grüne,Martin Luchsinger,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2005-05-25,2005/207,Hans Jörg Käppeli,SP,Heinz F. Steger,FDP,Tiefbau- und Entsorgungsdepartement (TED),links,rechts
2008-01-16,2008/33,Marlène Butz,SP,Astrid Hirzel,CVP,Polizeidepartement (PD),links,mitte
2006-01-25,2006/22,Andreas Ammann,SP,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2006-05-03,2006/139,Marlène Butz,SP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB),links,mitte
2008-01-09,2008/3,Joe A. Manser,SP,Mario Mariani,CVP,Präsidialdepartement (PRD),links,mitte
2004-11-03,2004/570,Susi Gut,PFZ,Roger Bartholdi,SVP,Tiefbau- und Entsorgungsdepartement (TED),,
