,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
651,11.07.2007,2007/406,Daniel Leupi,Grüne,Claudia Nielsen,SP,Geschäftsbericht Stadtrat
652,18.05.2016,2016/167,Matthias Probst,Grüne,Davy Graf,SP,
653,08.01.20,2005/39,Maya Burri-Wenger,SP,Gerold Lauber,CVP,
654,25.6.2003,2003/234,Walter Angst,AL,Balthasar Glättli,Grüne,Finanzdepartement (FD)
655,19.06.2013,2013/234,Niklaus Scherr,AL,Albert Leiser,FDP,
656,3.3.2004,2004/102,Gregor Bucher,,Mark Richli,SP,
657,1.11.2000,2000/526,Niklaus Scherr,AL,Heinz Jacobi,SP,Departement der Industriellen Betriebe (DIB)
658,09.06.2010,2010/254,Sacha Walker,GLP,Rebekka Wyler,SP,Polizeidepartement (PD)
659,22.10.2003,2003/383,Susi Gut,PFZ,Bruno Wohler,SVP,Polizeidepartement (PD)
660,15.12.2004,2004/670,Hans Jörg Käppeli,SP,Kurt Maeder,CVP,Tiefbau- und Entsorgungsdepartement (TED)
661,01.04.2009,2009/121,Monika Bloch Süss,CSP,Marianne Spieler Frauenfelder,SP,Tiefbau- und Entsorgungsdepartement (TED)
662,2.2.2000,2000/35,Robert Schönbächler,CVP,Andres Türler,FDP,Tiefbau- und Entsorgungsdepartement (TED)
663,24.1.2007,2007/28,Bernhard Piller,Grüne,André Odermatt,SP,
664,26.05.2010,2006/577,Pierino Cerliani,Grüne,Claudia Rabelbauer,EVP,
665,08.06.2016,2016/205,Urs Egger,FDP,Anjushka Früh,SP,
666,23.6.2004,2004/328,Alexander Jäger,FDP,Pierino Cerliani,Grüne,Polizeidepartement (PD)
667,9.6.2004,2004/300,Niklaus Scherr,AL,Albert Leiser,FDP,
668,24.10.2001,2001/523,Doris Fiala,FDP,Andreas J. Schlegel,,Finanzdepartement (FD)
669,23.3.2005,2005/107,Maya Burri-Wenger,SP,Roger Tognella,FDP,Polizeidepartement (PD)
670,15.9.2004,2004/499,Gregor Bucher,,Daniel Leupi,Grüne,Schul- und Sportdepartement (SSD)
