Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
2007-06-06,2007/321,Fakir Atalay,SP,Ueli Nagel,Grüne,Gesundheits- und Umweltdepartement (GUD)
2004-11-10,2004/584,Thomas Marthaler,SP,Christian Traber,CVP,Polizeidepartement (PD)
2006-11-15,2006/495,Gregor Bucher,Grüne,Ernst Danner,EVP,Präsidialdepartement (PRD)
2001-03-21,2001/172,Köbi Möri,Parteilos,Theo Hauri,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2000-08-23,2000/407,Robert Schönbächler,CVP,Willy Furter,EVP,Departement der Industriellen Betriebe (DIB)
2000-12-31,2000/413,Balthasar Glättli,Grüne,Markus Bischoff,AL,Polizeidepartement (PD)
2016-09-21,2016/318,Renate Fischer,SP,Isabel Garcia,GLP,Hochbaudepartement (HBD)
2016-01-06,2016/10,Simone Brander,SP,Simon Kälin-Werth,Grüne,Polizeidepartement (PD)
2005-03-02,2005/78,Susi Gut,PFZ,Thomas Schwendener,SVP,Präsidialdepartement (PRD)
2003-07-02,2003/249,Walter Angst,AL,Heidi Bucher-Steinegger,Grüne,Gesundheits- und Umweltdepartement (GUD)
2006-08-23,2006/330,Robert Schönbächler,CVP,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED)
2005-02-09,2005/44,Susi Gut,PFZ,Mauro Tuena,SVP,Präsidialdepartement (PRD)
2016-01-27,2016/38,Mario Babini,Parteilos,Michael Schmid,FDP,Präsidialdepartement (PRD)
2016-09-28,2016/330,Davy Graf,SP,Andreas Kirstein,AL,Sicherheitsdepartement (SID)
2018-11-07,2018/429,Pablo Bünger,FDP,Christoph Marty,SVP,Hochbaudepartement (HBD)
